Accident_ID,Accident_Date,Year,Month,Province,District,Road_Type,Intersection_Type,Time_of_Day,Accident_Severity,Weather_Condition,Road_Surface,Vehicle_Type,Speed_Zone,Driver_Gender,Number_of_Vehicles,Number_of_Casualties
241,2023-08-12,2023,August,Karnali,Jumla,Highway,Curve,Night,Minor Injury,Fog,Damaged,Scooter,30,Male,2.0,3.0
171,2023-05-26,2023,May,Madhesh,Sarlahi,Highway,Curve,Morning,Minor Injury,Clear,Wet,Motorbike,30,Male,3.0,4.0
524,2024-04-29,2024,April,Sudurpashchim,Kanchanpur,Feeder,Curve,Night,Damage Only,Clear,Damaged,Motorbike,50,Female,1.0,3.0
766,2024-12-09,2024,December,Karnali,Kalikot,Highway,Junction,Night,Serious Injury,Clear,Dry,Microbus,30,Male,1.0,11.0
839,2025-02-09,2025,February,Sudurpashchim,Kanchanpur,Rural,Straight,Morning,Minor Injury,Clear,Wet,Truck,50,Male,2.0,3.0
424,2024-01-31,2024,January,Gandaki,Lamjung,Highway,Curve,Night,Fatal,Clear,Dry,Scooter,50,Male,2.0,4.0
381,2023-12-10,2023,December,Madhesh,Parsa,Rural,Straight,Evening,Minor Injury,Fog,Wet,Scooter,30,Male,3.0,3.0
610,2024-07-24,2024,July,Madhesh,Parsa,Highway,Curve,Evening,Fatal,Dusty,Wet,Scooter,80,Male,3.0,1.0
677,2024-09-27,2024,September,Sudurpashchim,Kanchanpur,Rural,Straight,Morning,Serious Injury,Clear,Wet,Bus,50,Male,1.0,10.0
345,2023-11-05,2023,November,Karnali,Jumla,Rural,Straight,Night,Damage Only,Fog,Slippery,Microbus,50,Male,2.0,19.0
110,2023-03-28,2023,March,Sudurpashchim,Achham,Urban,Straight,Night,Damage Only,Clear,Wet,Truck,50,Male,1.0,1.0
278,2023-09-10,2023,September,Karnali,Dailekh,Highway,Straight,Afternoon,Minor Injury,Clear,Dry,Motorbike,50,Male,3.0,4.0
678,2024-09-27,2024,September,Bagmati,Kathmandu,Feeder,Curve,Afternoon,Minor Injury,Rain,Wet,Motorbike,30,Other,2.0,1.0
571,2024-06-16,2024,June,Sudurpashchim,Kanchanpur,Feeder,Straight,Morning,Minor Injury,Clear,Dry,Motorbike,50,Female,2.0,4.0
359,2023-11-22,2023,November,Bagmati,Bhaktapur,Feeder,Straight,Evening,Serious Injury,Rain,Wet,Car,30,Male,2.0,2.0
599,2024-07-18,2024,July,Lumbini,Dang,Rural,Straight,Evening,Serious Injury,Clear,Slippery,Truck,80,Female,1.0,3.0
391,2023-12-21,2023,December,Lumbini,Dang,Urban,Straight,Afternoon,Minor Injury,Clear,Dry,Car,30,Male,3.0,2.0
894,2025-04-04,2025,April,Koshi,Morang,Highway,Straight,Afternoon,Minor Injury,Clear,Slippery,Truck,50,Male,2.0,4.0
693,2024-10-08,2024,October,Karnali,Surkhet,Highway,Straight,Evening,Serious Injury,Clear,Slippery,Scooter,50,Male,2.0,2.0
728,2024-11-11,2024,November,Madhesh,Parsa,Urban,Straight,Evening,Minor Injury,Dusty,Damaged,Truck,50,Male,3.0,2.0
363,2023-11-25,2023,November,Koshi,Sunsari,Urban,Curve,Afternoon,Damage Only,Clear,Wet,Car,80,Male,1.0,1.0
597,2024-07-16,2024,July,Gandaki,Kaski,Rural,Straight,Afternoon,Minor Injury,Clear,Damaged,Truck,30,Male,3.0,5.0
428,2024-02-03,2024,February,Gandaki,Gorkha,Urban,Straight,Afternoon,Damage Only,Clear,Dry,Motorbike,30,Female,1.0,4.0
71,2023-02-22,2023,February,Bagmati,Kathmandu,Rural,Straight,Night,Serious Injury,Clear,Wet,Microbus,30,Female,1.0,16.0
322,2023-10-15,2023,October,Karnali,Kalikot,Rural,Straight,Night,Damage Only,Clear,Damaged,Truck,50,Male,3.0,3.0
653,2024-08-30,2024,August,Karnali,Dailekh,Highway,Straight,Morning,Serious Injury,Clear,Dry,Jeep,80,Male,2.0,2.0
1066,2025-09-15,2025,September,Madhesh,Rautahat,Urban,Junction,Night,Damage Only,Clear,Wet,Car,80,Male,3.0,2.0
108,2023-03-26,2023,March,Koshi,Jhapa,Feeder,Straight,Night,Serious Injury,Clear,Dry,Truck,30,Male,3.0,2.0
1109,2025-10-31,2025,October,Gandaki,Lamjung,Feeder,Straight,Night,Minor Injury,Rain,Wet,Truck,80,Female,3.0,3.0
356,2023-11-20,2023,November,Gandaki,Kaski,Feeder,Curve,Afternoon,Damage Only,Dusty,Slippery,Car,30,Male,1.0,4.0
951,2025-06-01,2025,June,Sudurpashchim,Achham,Urban,Straight,Evening,Minor Injury,Rain,Wet,Motorbike,50,Male,1.0,1.0
343,2023-11-03,2023,November,Lumbini,Kapilvastu,Highway,Straight,Afternoon,Minor Injury,Rain,Wet,Scooter,50,Female,3.0,4.0
355,2023-11-20,2023,November,Bagmati,Kathmandu,Urban,Curve,Morning,Minor Injury,Rain,Wet,Motorbike,80,Male,3.0,2.0
24,2023-01-17,2023,January,Madhesh,Sarlahi,Urban,Straight,Night,Minor Injury,Clear,Wet,Motorbike,30,Male,3.0,1.0
44,2023-02-01,2023,February,Gandaki,Kaski,Highway,Curve,Morning,Fatal,Clear,Dry,Car,30,Male,2.0,4.0
244,2023-08-18,2023,August,Lumbini,Rupandehi,Urban,Junction,Afternoon,Minor Injury,Rain,Wet,Car,80,Male,1.0,4.0
738,2024-11-18,2024,November,Gandaki,Gorkha,Rural,Roundabout,Afternoon,Serious Injury,Clear,Slippery,Car,30,Male,2.0,4.0
1136,2025-12-01,2025,December,Karnali,Jumla,Rural,Curve,Morning,Minor Injury,Clear,Slippery,Truck,50,Male,2.0,2.0
368,2023-11-28,2023,November,Gandaki,Tanahun,Highway,Straight,Night,Minor Injury,Clear,Dry,Motorbike,30,Male,3.0,2.0
164,2023-05-18,2023,May,Koshi,Ilam,Feeder,Straight,Morning,Minor Injury,Clear,Slippery,Jeep,30,Female,2.0,2.0
1116,2025-11-09,2025,November,Koshi,Sunsari,Rural,Junction,Afternoon,Damage Only,Clear,Slippery,Car,30,Male,2.0,2.0
333,2023-10-27,2023,October,Madhesh,Parsa,Highway,Curve,Evening,Damage Only,Clear,Dry,Scooter,50,Male,1.0,3.0
989,2025-07-11,2025,July,Sudurpashchim,Kanchanpur,Urban,Junction,Evening,Minor Injury,Clear,Wet,Motorbike,50,Male,1.0,2.0
1173,2026-01-04,2026,January,Sudurpashchim,Kailali,Highway,Junction,Morning,Minor Injury,Clear,Wet,Motorbike,30,Male,3.0,3.0
1002,2025-07-20,2025,July,Koshi,Morang,Feeder,Straight,Evening,Minor Injury,Fog,Slippery,Car,80,Male,1.0,5.0
378,2023-12-07,2023,December,Karnali,Surkhet,Urban,Junction,Evening,Serious Injury,Rain,Wet,Jeep,30,Male,3.0,5.0
310,2023-10-09,2023,October,Lumbini,Banke,Highway,Curve,Evening,Minor Injury,Clear,Damaged,Motorbike,80,Male,2.0,2.0
156,2023-05-13,2023,May,Madhesh,Parsa,Urban,Junction,Morning,Fatal,Clear,Slippery,Motorbike,80,Female,3.0,4.0
211,2023-07-03,2023,July,Koshi,Ilam,Urban,Straight,Afternoon,Minor Injury,Clear,Slippery,Car,30,Male,2.0,5.0
87,2023-03-08,2023,March,Madhesh,Rautahat,Highway,Junction,Morning,Damage Only,Clear,Dry,Jeep,50,Male,2.0,2.0
169,2023-05-23,2023,May,Gandaki,Gorkha,Urban,Junction,Evening,Minor Injury,Fog,Wet,Motorbike,30,Female,3.0,2.0
995,2025-07-16,2025,July,Bagmati,Lalitpur,Rural,Straight,Morning,Minor Injury,Dusty,Wet,Jeep,30,Male,2.0,2.0
52,2023-02-06,2023,February,Koshi,Sunsari,Rural,Straight,Night,Damage Only,Rain,Wet,Motorbike,30,Male,2.0,1.0
439,2024-02-15,2024,February,Karnali,Dailekh,Rural,Straight,Evening,Damage Only,Clear,Slippery,Car,80,Male,3.0,4.0
550,2024-05-24,2024,May,Sudurpashchim,Kanchanpur,Urban,Straight,Afternoon,Minor Injury,Clear,Slippery,Car,30,Male,3.0,2.0
491,2024-03-25,2024,March,Karnali,Jumla,Rural,Curve,Morning,Damage Only,Clear,Wet,Motorbike,30,Male,2.0,3.0
426,2024-02-03,2024,February,Lumbini,Rupandehi,Rural,Straight,Afternoon,Serious Injury,Clear,Wet,Scooter,80,Female,2.0,1.0
136,2023-04-26,2023,April,Madhesh,Bara,Highway,Junction,Afternoon,Damage Only,Clear,Wet,Car,80,Male,1.0,1.0
1192,2026-01-15,2026,January,Koshi,Jhapa,Highway,Junction,Afternoon,Damage Only,Dusty,Dry,Truck,30,Male,1.0,1.0
55,2023-02-08,2023,February,Bagmati,Kathmandu,Highway,Junction,Evening,Minor Injury,Clear,Wet,Motorbike,50,Male,3.0,4.0
79,2023-02-27,2023,February,Karnali,Jumla,Feeder,Junction,Evening,Minor Injury,Fog,Damaged,Motorbike,80,Male,2.0,1.0
431,2024-02-08,2024,February,Karnali,Jumla,Highway,Curve,Evening,Damage Only,Clear,Damaged,Scooter,80,Male,1.0,4.0
185,2023-06-11,2023,June,Lumbini,Kapilvastu,Urban,Straight,Night,Minor Injury,Clear,Slippery,Motorbike,50,Male,3.0,4.0
57,2023-02-10,2023,February,Gandaki,Gorkha,Highway,Curve,Afternoon,Serious Injury,Rain,Wet,Truck,50,Male,2.0,1.0
943,2025-05-26,2025,May,Koshi,Sunsari,Highway,Straight,Morning,Serious Injury,Clear,Damaged,Motorbike,30,Male,3.0,3.0
851,2025-02-21,2025,February,Gandaki,Kaski,Highway,Straight,Afternoon,Damage Only,Rain,Wet,Truck,30,Male,2.0,3.0
1164,2025-12-25,2025,December,Karnali,Jumla,Urban,Straight,Evening,Damage Only,Fog,Wet,Car,80,Male,1.0,3.0
219,2023-07-08,2023,July,Karnali,Surkhet,Urban,Straight,Evening,Minor Injury,Clear,Dry,Car,50,Female,2.0,2.0
845,2025-02-12,2025,February,Bagmati,Chitwan,Rural,Junction,Morning,Serious Injury,Rain,Wet,Bus,30,Male,2.0,21.0
114,2023-04-01,2023,April,Madhesh,Bara,Urban,Junction,Afternoon,Damage Only,Rain,Wet,Car,30,Female,3.0,3.0
549,2024-05-23,2024,May,Madhesh,Parsa,Highway,Straight,Morning,Minor Injury,Rain,Wet,Car,80,Male,1.0,3.0
1019,2025-08-01,2025,August,Koshi,Sunsari,Highway,Straight,Evening,Minor Injury,Rain,Wet,Truck,80,Male,1.0,1.0
1073,2025-09-23,2025,September,Bagmati,Bhaktapur,Rural,Curve,Evening,Minor Injury,Fog,Dry,Car,80,Male,1.0,3.0
175,2023-05-30,2023,May,Madhesh,Sarlahi,Feeder,Straight,Afternoon,Minor Injury,Clear,Slippery,Car,50,Other,2.0,5.0
1023,2025-08-06,2025,August,Bagmati,Kathmandu,Rural,Straight,Night,Serious Injury,Fog,Damaged,Motorbike,30,Male,2.0,3.0
616,2024-07-28,2024,July,Sudurpashchim,Achham,Urban,Curve,Morning,Fatal,Rain,Wet,Jeep,30,Male,3.0,2.0
514,2024-04-16,2024,April,Lumbini,Dang,Highway,Junction,Morning,Serious Injury,Clear,Wet,Motorbike,30,Male,2.0,1.0
462,2024-03-03,2024,March,Sudurpashchim,Kailali,Feeder,Straight,Morning,Serious Injury,Clear,Dry,Bus,30,Male,2.0,25.0
287,2023-09-17,2023,September,Koshi,Sunsari,Rural,Junction,Night,Minor Injury,Rain,Wet,Car,30,Male,3.0,4.0
382,2023-12-11,2023,December,Sudurpashchim,Achham,Urban,Curve,Afternoon,Minor Injury,Clear,Slippery,Car,50,Female,2.0,4.0
1008,2025-07-25,2025,July,Sudurpashchim,Kailali,Feeder,Curve,Evening,Serious Injury,Clear,Dry,Truck,30,Male,1.0,3.0
671,2024-09-22,2024,September,Bagmati,Chitwan,Highway,Straight,Morning,Minor Injury,Clear,Damaged,Truck,80,Male,1.0,2.0
535,2024-05-10,2024,May,Sudurpashchim,Kanchanpur,Feeder,Junction,Morning,Serious Injury,Dusty,Wet,Car,30,Male,2.0,4.0
910,2025-04-22,2025,April,Bagmati,Chitwan,Rural,Curve,Evening,Serious Injury,Clear,Wet,Bus,30,Male,2.0,8.0
293,2023-09-20,2023,September,Lumbini,Dang,Rural,Junction,Night,Minor Injury,Clear,Wet,Motorbike,50,Male,3.0,1.0
124,2023-04-13,2023,April,Sudurpashchim,Kailali,Feeder,Curve,Afternoon,Minor Injury,Clear,Dry,Scooter,50,Female,1.0,4.0
583,2024-06-30,2024,June,Lumbini,Dang,Urban,Straight,Morning,Minor Injury,Clear,Damaged,Motorbike,80,Female,1.0,1.0
141,2023-04-29,2023,April,Madhesh,Parsa,Highway,Junction,Morning,Damage Only,Clear,Damaged,Bus,80,Male,1.0,20.0
736,2024-11-17,2024,November,Gandaki,Lamjung,Urban,Roundabout,Evening,Serious Injury,Dusty,Dry,Motorbike,30,Male,2.0,2.0
82,2023-03-01,2023,March,Karnali,Kalikot,Highway,Junction,Night,Minor Injury,Clear,Damaged,Motorbike,50,Male,1.0,2.0
882,2025-03-17,2025,March,Koshi,Ilam,Urban,Junction,Evening,Minor Injury,Rain,Wet,Car,80,Male,1.0,5.0
740,2024-11-19,2024,November,Sudurpashchim,Doti,Rural,Junction,Evening,Minor Injury,Clear,Damaged,Motorbike,80,Female,3.0,2.0
1102,2025-10-18,2025,October,Lumbini,Rupandehi,Urban,Junction,Morning,Serious Injury,Clear,Dry,Car,50,Male,2.0,5.0
909,2025-04-14,2025,April,Bagmati,Chitwan,Urban,Straight,Afternoon,Damage Only,Rain,Wet,Microbus,50,Male,1.0,14.0
1167,2025-12-27,2025,December,Bagmati,Lalitpur,Rural,Roundabout,Morning,Damage Only,Rain,Wet,Motorbike,50,Female,3.0,3.0
937,2025-05-21,2025,May,Lumbini,Kapilvastu,Urban,Curve,Night,Minor Injury,Clear,Dry,Car,30,Male,1.0,2.0
372,2023-12-03,2023,December,Madhesh,Bara,Rural,Curve,Evening,Fatal,Rain,Wet,Motorbike,30,Male,3.0,1.0
890,2025-03-28,2025,March,Karnali,Jumla,Highway,Curve,Afternoon,Minor Injury,Clear,Wet,Scooter,80,Male,1.0,4.0
157,2023-05-14,2023,May,Koshi,Morang,Highway,Curve,Morning,Minor Injury,Dusty,Wet,Truck,30,Male,2.0,2.0
992,2025-07-13,2025,July,Karnali,Jumla,Highway,Straight,Evening,Serious Injury,Clear,Wet,Motorbike,50,Male,2.0,1.0
622,2024-08-01,2024,August,Karnali,Surkhet,Rural,Straight,Morning,Serious Injury,Clear,Damaged,Car,30,Male,2.0,4.0
1038,2025-08-21,2025,August,Koshi,Ilam,Highway,Curve,Evening,Minor Injury,Clear,Wet,Car,30,Male,3.0,4.0
245,2023-08-18,2023,August,Gandaki,Kaski,Highway,Curve,Afternoon,Minor Injury,Dusty,Dry,Truck,30,Male,3.0,4.0
159,2023-05-16,2023,May,Bagmati,Bhaktapur,Urban,Curve,Afternoon,Damage Only,Clear,Wet,Bus,30,Male,1.0,7.0
746,2024-11-25,2024,November,Gandaki,Tanahun,Highway,Junction,Afternoon,Damage Only,Dusty,Damaged,Motorbike,30,Male,1.0,1.0
193,2023-06-22,2023,June,Karnali,Kalikot,Rural,Straight,Night,Serious Injury,Clear,Wet,Bus,80,Male,2.0,8.0
534,2024-05-08,2024,May,Lumbini,Rupandehi,Rural,Roundabout,Afternoon,Damage Only,Clear,Slippery,Bus,30,Female,2.0,21.0
904,2025-04-10,2025,April,Gandaki,Tanahun,Urban,Straight,Afternoon,Serious Injury,Clear,Slippery,Bus,50,Male,2.0,12.0
1004,2025-07-21,2025,July,Madhesh,Parsa,Rural,Straight,Morning,Minor Injury,Clear,Dry,Jeep,80,Male,1.0,3.0
1070,2025-09-18,2025,September,Koshi,Jhapa,Rural,Junction,Morning,Serious Injury,Rain,Wet,Jeep,80,Male,1.0,5.0
414,2024-01-22,2024,January,Sudurpashchim,Kailali,Rural,Curve,Night,Minor Injury,Rain,Wet,Motorbike,30,Male,1.0,2.0
1187,2026-01-14,2026,January,Karnali,Surkhet,Feeder,Straight,Morning,Fatal,Fog,Dry,Motorbike,30,Male,1.0,3.0
328,2023-10-23,2023,October,Sudurpashchim,Achham,Feeder,Junction,Night,Serious Injury,Clear,Wet,Car,30,Male,1.0,3.0
129,2023-04-19,2023,April,Bagmati,Kathmandu,Urban,Junction,Afternoon,Serious Injury,Dusty,Slippery,Bus,50,Female,1.0,7.0
695,2024-10-09,2024,October,Sudurpashchim,Doti,Highway,Junction,Afternoon,Minor Injury,Clear,Wet,Car,30,Male,1.0,5.0
631,2024-08-12,2024,August,Koshi,Jhapa,Rural,Straight,Afternoon,Minor Injury,Clear,Wet,Motorbike,30,Male,2.0,4.0
275,2023-09-08,2023,September,Karnali,Surkhet,Highway,Curve,Morning,Minor Injury,Fog,Wet,Bus,80,Male,2.0,15.0
1148,2025-12-11,2025,December,Gandaki,Lamjung,Rural,Junction,Night,Minor Injury,Dusty,Wet,Motorbike,30,Female,3.0,4.0
309,2023-10-08,2023,October,Karnali,Surkhet,Feeder,Junction,Afternoon,Fatal,Rain,Wet,Motorbike,50,Male,1.0,2.0
234,2023-08-01,2023,August,Karnali,Surkhet,Urban,Junction,Morning,Serious Injury,Rain,Wet,Bus,80,Male,2.0,7.0
1048,2025-09-01,2025,September,Lumbini,Dang,Feeder,Junction,Night,Fatal,Clear,Wet,Truck,80,Male,1.0,1.0
623,2024-08-02,2024,August,Gandaki,Gorkha,Urban,Straight,Afternoon,Minor Injury,Clear,Damaged,Car,50,Male,2.0,2.0
644,2024-08-23,2024,August,Madhesh,Rautahat,Highway,Curve,Afternoon,Minor Injury,Clear,Wet,Car,50,Male,2.0,2.0
479,2024-03-18,2024,March,Lumbini,Banke,Highway,Junction,Afternoon,Serious Injury,Rain,Wet,Car,30,Female,2.0,4.0
472,2024-03-11,2024,March,Madhesh,Bara,Highway,Straight,Evening,Damage Only,Clear,Dry,Scooter,80,Male,1.0,1.0
926,2025-05-10,2025,May,Lumbini,Kapilvastu,Highway,Straight,Afternoon,Damage Only,Dusty,Wet,Truck,80,Male,1.0,3.0
1098,2025-10-13,2025,October,Karnali,Surkhet,Urban,Junction,Night,Minor Injury,Clear,Damaged,Car,80,Female,2.0,1.0
627,2024-08-09,2024,August,Sudurpashchim,Achham,Highway,Curve,Afternoon,Minor Injury,Rain,Wet,Scooter,80,Male,3.0,3.0
395,2023-12-26,2023,December,Lumbini,Banke,Urban,Curve,Morning,Minor Injury,Clear,Slippery,Motorbike,50,Male,3.0,4.0
637,2024-08-17,2024,August,Bagmati,Lalitpur,Rural,Curve,Evening,Minor Injury,Clear,Wet,Bus,50,Male,1.0,19.0
768,2024-12-10,2024,December,Sudurpashchim,Achham,Highway,Curve,Afternoon,Fatal,Clear,Damaged,Car,30,Male,1.0,4.0
533,2024-05-07,2024,May,Madhesh,Bara,Urban,Junction,Afternoon,Minor Injury,Clear,Slippery,Car,80,Female,2.0,4.0
718,2024-11-02,2024,November,Madhesh,Parsa,Rural,Roundabout,Afternoon,Fatal,Fog,Wet,Motorbike,30,Male,1.0,4.0
667,2024-09-20,2024,September,Karnali,Dailekh,Urban,Straight,Evening,Serious Injury,Fog,Wet,Car,30,Male,1.0,1.0
598,2024-07-16,2024,July,Madhesh,Rautahat,Urban,Straight,Evening,Damage Only,Clear,Slippery,Car,50,Female,3.0,3.0
482,2024-03-19,2024,March,Karnali,Surkhet,Rural,Junction,Afternoon,Minor Injury,Clear,Dry,Motorbike,50,Male,2.0,3.0
1103,2025-10-18,2025,October,Sudurpashchim,Kailali,Highway,Junction,Afternoon,Minor Injury,Fog,Damaged,Jeep,30,Male,3.0,1.0
315,2023-10-12,2023,October,Gandaki,Tanahun,Highway,Junction,Afternoon,Damage Only,Rain,Wet,Motorbike,30,Male,2.0,1.0
729,2024-11-11,2024,November,Lumbini,Dang,Rural,Straight,Afternoon,Minor Injury,Rain,Wet,Truck,30,Male,2.0,5.0
210,2023-07-03,2023,July,Gandaki,Kaski,Rural,Junction,Night,Damage Only,Clear,Slippery,Truck,30,Male,1.0,2.0
934,2025-05-18,2025,May,Sudurpashchim,Kailali,Highway,Curve,Night,Minor Injury,Fog,Dry,Bus,50,Male,2.0,10.0
434,2024-02-10,2024,February,Madhesh,Parsa,Highway,Straight,Evening,Damage Only,Clear,Damaged,Motorbike,30,Female,3.0,3.0
329,2023-10-23,2023,October,Bagmati,Bhaktapur,Feeder,Straight,Night,Minor Injury,Clear,Damaged,Motorbike,30,Male,2.0,2.0
261,2023-09-01,2023,September,Madhesh,Parsa,Urban,Curve,Afternoon,Minor Injury,Clear,Damaged,Microbus,80,Male,2.0,11.0
1117,2025-11-11,2025,November,Lumbini,Dang,Urban,Junction,Afternoon,Minor Injury,Clear,Slippery,Car,80,Male,1.0,4.0
307,2023-10-06,2023,October,Bagmati,Bhaktapur,Urban,Junction,Afternoon,Damage Only,Clear,Damaged,Motorbike,30,Male,3.0,4.0
1067,2025-09-15,2025,September,Sudurpashchim,Kailali,Highway,Curve,Morning,Damage Only,Rain,Wet,Car,30,Male,3.0,1.0
928,2025-05-12,2025,May,Karnali,Jumla,Feeder,Straight,Morning,Minor Injury,Clear,Damaged,Car,50,Male,2.0,3.0
1025,2025-08-07,2025,August,Sudurpashchim,Achham,Highway,Junction,Afternoon,Fatal,Clear,Wet,Scooter,30,Male,3.0,4.0
271,2023-09-05,2023,September,Lumbini,Banke,Feeder,Straight,Afternoon,Damage Only,Clear,Slippery,Motorbike,30,Male,3.0,2.0
291,2023-09-18,2023,September,Sudurpashchim,Kailali,Highway,Junction,Morning,Minor Injury,Clear,Damaged,Motorbike,80,Male,3.0,4.0
813,2025-01-19,2025,January,Madhesh,Sarlahi,Urban,Straight,Evening,Damage Only,Clear,Wet,Motorbike,50,Female,2.0,3.0
97,2023-03-18,2023,March,Madhesh,Sarlahi,Rural,Straight,Night,Damage Only,Clear,Slippery,Jeep,30,Male,1.0,4.0
888,2025-03-26,2025,March,Bagmati,Bhaktapur,Highway,Junction,Morning,Minor Injury,Fog,Dry,Motorbike,80,Male,1.0,2.0
819,2025-01-23,2025,January,Madhesh,Parsa,Highway,Junction,Evening,Minor Injury,Clear,Wet,Microbus,80,Female,2.0,12.0
32,2023-01-22,2023,January,Madhesh,Parsa,Feeder,Curve,Evening,Damage Only,Rain,Wet,Scooter,30,Male,3.0,1.0
763,2024-12-06,2024,December,Karnali,Kalikot,Rural,Straight,Afternoon,Minor Injury,Rain,Wet,Motorbike,30,Male,1.0,2.0
954,2025-06-02,2025,June,Gandaki,Kaski,Rural,Straight,Evening,Minor Injury,Clear,Damaged,Jeep,30,Male,3.0,2.0
320,2023-10-15,2023,October,Lumbini,Banke,Rural,Junction,Afternoon,Minor Injury,Fog,Dry,Car,80,Male,3.0,2.0
299,2023-09-28,2023,September,Gandaki,Lamjung,Urban,Junction,Morning,Minor Injury,Fog,Slippery,Scooter,30,Male,2.0,3.0
200,2023-06-25,2023,June,Madhesh,Sarlahi,Urban,Junction,Afternoon,Minor Injury,Clear,Wet,Motorbike,50,Male,3.0,4.0
561,2024-06-07,2024,June,Koshi,Ilam,Urban,Straight,Evening,Fatal,Clear,Dry,Truck,50,Female,1.0,5.0
179,2023-06-02,2023,June,Madhesh,Rautahat,Highway,Junction,Morning,Minor Injury,Rain,Wet,Scooter,30,Female,3.0,1.0
1132,2025-11-29,2025,November,Koshi,Morang,Rural,Junction,Morning,Serious Injury,Rain,Wet,Car,30,Male,3.0,1.0
89,2023-03-10,2023,March,Bagmati,Kathmandu,Highway,Roundabout,Morning,Minor Injury,Rain,Wet,Scooter,30,Male,3.0,1.0
788,2024-12-28,2024,December,Gandaki,Gorkha,Rural,Straight,Morning,Minor Injury,Clear,Damaged,Bus,30,Male,2.0,18.0
725,2024-11-08,2024,November,Sudurpashchim,Achham,Rural,Junction,Evening,Damage Only,Clear,Wet,Bus,30,Male,2.0,18.0
827,2025-01-31,2025,January,Sudurpashchim,Achham,Highway,Straight,Morning,Serious Injury,Clear,Slippery,Car,80,Male,3.0,1.0
209,2023-07-02,2023,July,Bagmati,Bhaktapur,Rural,Straight,Evening,Minor Injury,Dusty,Wet,Motorbike,30,Female,3.0,1.0
1040,2025-08-24,2025,August,Karnali,Surkhet,Feeder,Straight,Evening,Damage Only,Clear,Wet,Bus,30,Male,2.0,20.0
297,2023-09-26,2023,September,Bagmati,Chitwan,Rural,Junction,Morning,Serious Injury,Rain,Wet,Car,80,Male,2.0,4.0
998,2025-07-18,2025,July,Koshi,Sunsari,Highway,Straight,Evening,Damage Only,Clear,Dry,Microbus,50,Male,2.0,24.0
498,2024-03-31,2024,March,Lumbini,Kapilvastu,Urban,Straight,Evening,Minor Injury,Dusty,Dry,Scooter,50,Male,3.0,1.0
835,2025-02-04,2025,February,Karnali,Surkhet,Urban,Curve,Night,Damage Only,Rain,Wet,Scooter,50,Male,2.0,1.0
430,2024-02-07,2024,February,Gandaki,Kaski,Urban,Junction,Afternoon,Fatal,Clear,Slippery,Car,80,Female,1.0,2.0
507,2024-04-06,2024,April,Karnali,Jumla,Urban,Straight,Night,Minor Injury,Clear,Wet,Jeep,30,Male,3.0,4.0
831,2025-02-02,2025,February,Bagmati,Bhaktapur,Highway,Curve,Night,Damage Only,Clear,Slippery,Scooter,50,Female,1.0,1.0
694,2024-10-09,2024,October,Madhesh,Sarlahi,Highway,Straight,Afternoon,Minor Injury,Clear,Slippery,Scooter,30,Male,1.0,4.0
11,2023-01-10,2023,January,Lumbini,Dang,Highway,Roundabout,Night,Minor Injury,Dusty,Wet,Car,80,Male,2.0,3.0
